taggable_id,taggable_type,tag_id,tag_order
3336,invoice,106,1
1689,project,18,1
3339,invoice,106,1
3340,invoice,105,1
3348,invoice,106,1
3349,invoice,105,1
3350,invoice,105,1
3351,invoice,105,1
3352,invoice,105,1
3356,invoice,105,1
3357,invoice,105,1
3327,invoice,106,1
3359,invoice,106,1
1721,project,105,1
3360,invoice,106,1
3366,invoice,105,1
3375,invoice,106,1
3376,invoice,106,1
3377,invoice,106,1
3378,invoice,106,1
1741,project,106,1
3385,invoice,105,1
3386,invoice,105,1
3388,invoice,105,1
3392,invoice,105,1
3393,invoice,105,1
3396,invoice,105,1
3396,invoice,106,2
3397,invoice,105,1
3401,invoice,105,1
3403,invoice,106,1
3404,invoice,106,1
3405,invoice,106,1
3406,invoice,106,1
3407,invoice,106,1
3408,invoice,106,1
3418,invoice,105,1
3422,invoice,105,1
3423,invoice,106,1
3424,invoice,106,1
3425,invoice,106,1
3426,invoice,106,1
1762,project,16,1
3433,invoice,105,1
3437,invoice,105,1
3438,invoice,105,1
3440,invoice,105,1
3439,invoice,106,1
3446,invoice,105,1
3447,invoice,105,1
3448,invoice,105,1
3449,invoice,105,1
1788,project,105,1
3454,invoice,105,1
1789,project,105,1
3455,invoice,105,1
1792,project,105,1
3465,invoice,107,1
3475,invoice,106,1
3478,invoice,106,1
3479,invoice,105,1
3480,invoice,106,1
3481,invoice,105,1
3482,invoice,106,1
3483,invoice,106,1
3487,invoice,105,1
3488,invoice,105,1
1809,project,106,1
3489,invoice,106,1
1810,project,106,1
3490,invoice,106,1
1811,project,106,1
3491,invoice,106,1
1812,project,106,1
3492,invoice,106,1
1814,project,106,1
3493,invoice,106,1
3496,invoice,105,1
3498,invoice,105,1
3499,invoice,105,1
1824,project,106,1
1825,project,106,1
3507,invoice,106,1
3508,invoice,106,1
3509,invoice,106,1
3510,invoice,106,1
3511,invoice,106,1
3516,invoice,105,1
3518,invoice,105,1
3521,invoice,106,1
3524,invoice,106,1
1526,project,105,1
1527,project,105,1
1528,project,105,1
1529,project,105,1
1531,project,105,1
1533,project,105,1
3529,invoice,105,1
1852,project,105,1
1853,project,105,1
1854,project,105,1
1855,project,105,1
1415,project,105,1
1860,project,106,1
1864,project,105,1
1865,project,105,1
920,project,105,1
3533,invoice,106,1
3534,invoice,106,1
3535,invoice,106,1
3536,invoice,105,1
1219,project,105,1
1191,project,105,1
1205,project,105,1
731,project,105,1
726,project,105,1
1203,project,105,1
735,project,105,1
3548,invoice,105,1
3549,invoice,105,1
3550,invoice,105,1
1876,project,106,1
3552,invoice,105,1
3553,invoice,105,1
3554,invoice,105,1
3556,invoice,105,1
3557,invoice,105,1
3558,invoice,106,1
3559,invoice,106,1
983,project,105,1
3560,invoice,106,1
3561,invoice,105,1
3562,invoice,106,1
1882,project,105,1
1887,project,105,1
3574,invoice,106,1
747,project,105,1
741,project,105,1
706,project,105,1
812,project,105,1
863,project,105,1
1602,project,105,1
1326,project,105,1
1241,project,105,1
1240,project,105,1
1847,project,105,1
360,project,105,1
3586,invoice,105,1
3587,invoice,105,1
3588,invoice,105,1
3592,invoice,105,1
3593,invoice,105,1
3594,invoice,105,1
3596,invoice,106,1
3599,invoice,106,1
3604,invoice,106,1
3606,invoice,105,1
3607,invoice,105,1
3608,invoice,105,1
3609,invoice,105,1
3610,invoice,105,1
3611,invoice,105,1
3612,invoice,105,1
3617,invoice,105,1
3621,invoice,107,1
3629,invoice,105,1
3631,invoice,105,1
3633,invoice,106,1
3635,invoice,106,1
3636,invoice,106,1
3637,invoice,106,1
3634,invoice,106,1
3639,invoice,106,1
3643,invoice,106,1
3645,invoice,106,1
3646,invoice,106,1
3647,invoice,106,1
3648,invoice,106,1
107,task,106,1
3658,invoice,106,1
1931,project,106,1
3659,invoice,106,1
3670,invoice,106,1
3678,invoice,106,1
3679,invoice,106,1
3680,invoice,106,1
3681,invoice,106,1
3682,invoice,106,1
3692,invoice,106,1
3695,invoice,6,1
1641,proposal,110,1
3698,invoice,106,1
3703,invoice,105,1
3704,invoice,105,1
