id,district_id,name
192,41,PUCURO
177,40,PUERTO PIÑA
178,40,RIO CONGO
179,40,RIO CONGO ARRIBA
180,40,RIO IGLESIAS
181,40,SAMBU
182,40,SANTA FE
183,40,SETEGANTI
184,40,TAIMATI
185,40,TUCUTI
193,41,YAPE
194,41,YAVIZA
223,42,CABUYA
207,43,CAPURI
216,44,CERRO LARGO
200,45,CHEPO
195,46,CHITRE (CABECERA)
201,45,CHUMICAL
238,47,CHUPAMPA
230,48,EL BARRERO
208,43,EL CALABACITO
209,43,EL CEDRO
231,48,EL CIRUELO
239,47,EL LIMON
232,48,EL PAJARO
233,48,EL PEDREGOSO
240,47,EL RINCON
217,44,EL TIJERA
202,45,EL TORO
196,46,LA ARENA
210,43,LA ARENA
211,43,LA PITALOSA
234,48,LAS CABRAS
212,43,LAS LLANAS
203,45,LAS MINAS (CABECERA)
204,45,LEONES
197,46,LLANO BONITO
224,42,LLANO DE LA CRUZ
218,44,LLANO GRANDE
241,47,LOS CANELOS
225,42,LOS CASTILLOS
213,43,LOS CERRITOS
214,43,LOS CERROS DE PAJA
219,44,LOS LLANOS
215,43,LOS POZOS (CABECERA)
220,44,MENCHACA
198,46,MONAGRILLO
221,44,OCU (CABECERA)
226,42,PARIS
227,42,PARITA (CABECERA)
222,44,PEÑAS CHATAS
235,48,PESE (CABECERA)
228,42,PORTOBELILLO
229,42,POTUGA
205,45,QUEBRADA DEL ROSARIO
206,45,QUEBRADA EL CIPRIAN
236,48,RINCON HONDO
237,48,SABANAGRANDE
199,46,SAN JUAN BAUTISTA
242,47,SANTA MARIA (CABECERA)
277,49,AGUA BUENA
